Category,Quote
love,feeling still human want loved talent
cute,afterward last laugh made air bubble bottom lake friend kept waiting u come hey-when son poseidon hurry pretty much best underwater kiss time
logic,love absence logicbut logic examined recalculatedheated curved fitinside contour heart
inspirational,true love much matter romance matter anxious concern well-being one's companion
broken-hearted,heart breakable isabelle said think even heal never
absurd,beautiful perfect made conceited
faith,sometimes god allows hate accomplish love
beautiful,many many year ago kingdom sea maiden lived may knowby name annabel lee maiden lived thoughtthan love loved child child kingdom sea loved love love-i annabel lee love winged seraph heavencoveted reason long ago kingdom sea wind blew cloud chillingmy beautiful annabel lee highborn kinsman cameand bore away shut sepulchrein kingdom sea angel half happy heaven went envying me-yes - reason men know kingdom sea wind came cloud night chilling killing annabel lee love stronger far loveof older we-of many far wiser we-and neither angel heaven demon sea ever dissever soul soulof beautiful annabel lee moon never beam without bringing dreamsof beautiful annabel lee star never rise feel bright eyesof beautiful annabel lee night-tide lie sideof darling- darling- life bride sepulchre sea tomb sounding sea
love,love beckons follow though way hard steep wing enfold yield though sword hidden among pinion may wound speaks believe though voice may shatter dream north wind lay waste garden even love crown shall crucify even growth pruning even ascends height caress tenderest branch quiver sun shall descend root shake clinging earth fear would seek love's peace love's pleasure better cover nakedness pas love's threshing-floor seasonless world shall laugh laughter weep tear love give naught take naught love posse would possessed love sufficient unto love think direct course love find worthy directs course love desire fulfil love must need desire let desire melt like running brook sings melody night know pain much tenderness wounded understanding love bleed willingly joyfully
love,one girl made risk eveything future worth
courtship,time swear shivering sighing vow passion infinite undying lady make note --one lying
anxiety,anxiety love's greatest killer make others feel might drowning man hold want save know strangle panic
augustus-waters,i'll fight i'll fight worry hazel grace i'm okay i'll find way hang around annoy long time
family,that's people love put arm around love lovable
be-yourself,let drawn stronger pull truly love
inspirational,heart toughest part body tenderness hand
infatuation,good night good night parting sweet sorrow shall say good night till morrow
love,dream made holding arm natural heartbeat think time even i'm sitting think could never another
children,soul healed child
happiness,people like say love unconditional even unconditional still never free there's always expectation attached always want something return like want happy whatever make automatically responsible happiness happy unless want responsibility
love,love nothing expecting get - expecting give - everything
dating,wondered happened offered someone opened discover gift expected smile nod say thank
lost-love,gone know gift love suffer like go back fight keep
love,romance thinking significant supposed thinking something else
love,bird i'm bird
destiny,told love someone look clothes car love sing song heart understand
love,true love come quietly without banner flashing light hear bell get ear checked
awareness,really important kind freedom involves attention awareness discipline effort able truly care people sacrifice myriad petty little unsexy way every day
catherine,catherine earnshaw may rest long living said killed you--haunt murdered haunt murderer believe--i know ghost wandered earth always--take form--drive mad leave abyss cannot find oh god unutterable cannot live without life cannot live without soul
hope,love someone whole heart even one person there's salvation life even can't get together person
charlotte-bronte,think poor obscure plain little soulless heartless think wrong - much soul - full much heart god gifted beauty much wealth made hard leave leave
adaptation,youth way best please change every passing ladto suit theory know thing knowand thing like hell love
broken-heart,blind heart broken want anything gu burst room shouted wonderful news like really want hear wonderful news right gu said wonderful news want hear asked fine said going live good long life filled great terrible moment cannot even imagine yet
love,let marriage true mind admit impediment love love alters alteration find bend remover remove ever-fixed mark look tempest never shaken star every wand'ring barque whose worth's unknown although height taken love's time's fool though rosy lip cheek within bending sickle's compass come love alters brief hour week bear even edge doom error upon proved never writ man ever loved
inspiration,search throughout entire universe someone deserving love affection person found anywhere much anybody entire universe deserve love affection
love,love extremely difficult realization something oneself real
love,belong beloved beloved mine
dating,well ron said finally looking harry harry considered moment wet said truthfully ron made noise might indicated jubilation disgust hard tell cry harry continued heavily oh said ron smile faded slightly bad kissing dunno said harry considered immediately felt rather worried maybe
essence,possible final analysis one human achieve perfect understanding another invest enormous time energy serious effort know another person end close come person's essence convince know person well really know anything important anyone
love,someday find someone special people who've love usually nature
love,forget mei want knowone thing know lookat crystal moon red branchof slow autumn window touchnear firethe impalpable ashor wrinkled body log everything carry everything exists aroma light metal little boatsthat sailtoward isle wait well little little stop loving mei shall stop loving little little suddenlyyou forget medo look shall already forgotten think long mad wind bannersthat pass life decideto leave shoreof heart root rememberthat day hour shall lift armsand root set offto seek another land butif day hour feel destined mewith implacable sweetness day flowerclimbs lip seek ah love ah fire repeated nothing extinguished forgotten love feed love beloved long live armswithout leaving mine
love,light spirit's born - sun moon star
friendship,bullshit think friendship romance different they're they're variation love variation desire close
love,love ocean would land love desert would see sand love star-late night light love could grow wing i'd soaring flight
heartbreak,love never dy never go away never fade long hang love make immortal
inspiration,i've love like narcotic first brings euphoria complete surrender next day want addicted yet like sensation think still control thing think person love two minute forget three hour get used person begin completely dependent think three hour forget two minute he's feel like addict can't get fix addict steal humiliate get need willing anything love - river piedra sat wept
being-left,hard left behind hard one stay
love,making love woman sleeping woman two separate passion merely different opposite love make felt desire copulation desire extends infinite number woman desire shared sleep desire limited one woman
exes,old lover able become friend two reason never truly loved love still
death,suddenly knew killed would die maybe immediately maybe blinding rush pain would happen live long without heart
love,wanted something else something different something passion romance perhaps maybe quiet conversation candlelit room perhaps something simple second
death,think fell love little bit dumb like knew like oldest dearest friend kind person tell anything matter bad they'll still love know wanted go wanted notice stopped walking moon stopped looked u looked maybe trying tell something know probably even know i'll always love life
bellys,moment lost can't found they're gone
hurt,mine trying best give could ever hurt understand could hurt somebody badly would never recover person living damage another human beyond repair
love,like loved also told loved sure mind realm silence large enough beyond grave world light speech shall take leave tell dear
love,chance ever meet someone like wondered someone could love forever someone would forever love back person born half world away math seemed impossible
love,that's real love amount - letting person really people love pretend keep love keep pretending - performing get love pretence true we're locked image act - sad thing people get used image grow attached mask love chain forget really try remind hate feel like trying steal precious possession
fear,wonder fear ever really go away lose power u
love,desperate love always invent character partner demanding need feeling devastated refuse perform role created first place
friendship,trust friend without fault love woman angel
abuse,usually adult male unable make emotional connection woman choose intimate frozen time unable allow love fear loved one abandon first woman passionately loved mother true bond love trust partner true love often adult relationship men act test partner's love rejected adolescent boy imago longer receive mother's love worthy grown man may act way unworthy yet demand woman life offer unconditional love testing heal wound past merely reenacts ultimately woman become weary tested end relationship thus reenacting abandonment drama confirms many men cannot put trust love decide better put faith powerful dominant
love,always something left love
love,must love one another die
angels,happens like one day meet someone inexplicable reason feel connected stranger anyone else--closer closest family perhaps person carry within angel--one sent higher purpose teach important lesson keep safe perilous time must trust them--even come hand hand pain suffering--the reason presence become clear due time though word warning--you may grow love person remember keep purpose save show save fulfilled halo lift angel leaf body person exit life stranger -------------------------------------------------it's dark right can't see light around that's light coming can't see everyone else
bob-marley,say love rain use umbrella walk say love sun seek shelter shining say love wind come close window that's i'm scared say love
love,thing love infinite
love,i'm lonely think learn act independent also get mad quickly hog cover second toe longer big one hair zip code plus get certifiably crazy i've got pm love someone they're perfect love spite fact they're
being-human,reason someone smile reason someone feel loved belief goodness people
love,love better master duty
love,mama mama help get homei'm wood found werewolf nasty old muttit showed teeth went straight gut mama mama help get homei'm wood stopped vampire rotting old wreckit showed teeth went straight neck mama mama put bedi make home i'm already half-dead met invalid fell arthe showed smile went straight heart -from child's walk home nursery rhyme folk tale
love,matter look like long somebody love
love,like nobody since love
companionship,dug deeply sentiment search interest found love trying make love ended falling love petra cote part loved felt love increasing ripeness autumn began believe youthful superstition poverty servitude love looked back wild revelry gaudy wealth unbridled fornication annoyance lamented cost much life find paradise shared solitude madly love many year sterile complicity enjoyed miracle living much table bed grew happy even two worn-out people kept blooming like little child playing together like dog
love,time always
art,nothing truly artistic love people
love,love question ever preposterous
insanity,love n temporary insanity curable marriage
love,like body yourbody quite new thing muscle better nerve like body like like hows like feel spineof body bone trembling-firm-smooth ness willagain againkiss like kissing like slowly stroking shocking fuzzof electric fur what-is-it comesover parting flesh eye big love-crumbs possibly like thrillof quite new
christian,woman want submission man submission god
humanity,love mankind said find amazement love mankind whole le love man particular
inspirational,need one man love love free like wildfire crazy like moon always like tomorrow sudden like inhale overcoming like tide one man
endurance,despite best effort people going hurt time hurt
love,greatest happiness life conviction loved -- loved rather loved spite
archeron,understand anyone afraid love face completely aghast love someone truly love friend lover lay heart open give part give one else let inside part hurt literally hand razor map cut deepest painfully heart soul strike crippling like heart carved leaf naked exposed wondering make want hurt badly love wrong one keep faith one love happen bad enough repeated right mind would terrified
death,mother died save one thing voldemort cannot understand love love powerful mother's leaf mark loved deeply even though person loved u gone give u protection forever
love,matter much think love somebody step back pool blood edge close
absence,course hurt course hurt course hurt condition existence become spring mean accepting risk winter become presence mean accepting risk absence
burning,say good love one sits give drink water pat top head say good love one cast wind set ablaze make burn sky ignite night like phoenix kind cut loose like wildfire can't stop running simply keep burning everything touch say that's good love one burn fly run
ardor,made sound like choked laughed reached pulled arm aware luke watching window shut eye resolutely buried face jace's shoulder smelled salt blood mouth came close ear understand saying simplest litany name name
dating,people always fall love perfect aspect personality anybody love wonderful part another person clever trick really clever trick accept flaw look partner fault honestly say work around make something e good stuff always going always going pretty sparkly crap underneath ruin
happiness,happily ever even together ever cheesy ewren said noblest like courageous thing two people shoot
love,dimitri interrupted gently moved face toward mine forehead nearly touching happen strong fight like thistime wrapped arm around buried face chest can't whispered said tremulous note voice strong strong love
cats,greater gift love cat
love,worthy one another
love,love abstract noun something nebulous yet love turn part u solid world turn upside screen go black
1960s,someone think peace love cliche must left behind 60 that's problem peace love eternal
love,love cannot reduced catalogue reason catalogue reason cannot put together love
love,fate heart choice one else get vote
inspirational,damage permanent would always scar even angriest scar faded time difficult see written skin thing remained memory painful
life,there's thing i've learned life afraid responsibility come caring people love thing endure even people
love,stared knowing certainty falling love pulled close kissed beneath blanket star wondering earth he'd lucky enough find
first,two cute ethe counter girl said setting two cup piled whipped cream counter sort lopsided open smile made think laughed lot seriously long going sam let go hand get wallet took bill six year wrinkled nose cover laugh course would count time two entirely different specie whoa ecounter girl nodded appreciatively pretty amazing couple age sam handed hot chocolate answer yellow eye gazed possessively wondered realized way looked far intimate copping feel could ever crouched look almond bark bottom shelf counter quite bold enough look either admitted well love first sight girl sighed romantic favor two ever change world need love first sight
distance,scariest thing distance know whether miss forget
caring,beautiful empty one die course ordinary passerby would think rose looked like rose important together since one i've watered since one put glass since one sheltered behind screen since one killed caterpillar except two three butterfly since one listened complained boasted even sometimes said nothing since rose
chances,say one wait lifetime soulmate come around paradox people eventually get sick waiting take chance someone art commitment become soulmates take lifetime perfect
adoration,lover alone wear sunlight
breathing,oh smile kill stop breathing smile
acceptance,real made ' said skin horse 'it's thing happens child love long long time play really love become real ''does hurt ' asked rabbit 'sometimes ' said skin horse always truthful 'when real mind hurt ' 'does happen like wound ' asked 'or bit bit ' 'it happen ' said skin horse 'you become take long time that's happen often people break easily sharp edge carefully kept generally time real hair loved eye drop get loose joint shabby thing matter real can't ugly except people understand
age,matter old never young old success going want short list people accomplished great thing different ages1 helen keller age 19 month became deaf blind stop first deaf blind person earn bachelor art degree 2 mozart already competent keyboard violin composed age 5 3 shirley temple 6 became movie star bright eye e anne frank 12 wrote diary anne frank 5 magnus carlsen became chess grandmaster age 13 6 nadia comăneci gymnast romania scored seven perfect 10 0 three gold medal olympics age 14 7 tenzin gyatso formally recognized 14th dalai lama november 1950 age 15 8 pele soccer superstar 17 year old world cup 1958 brazil 9 elvis superstar age 19 10 john lennon 20 year paul mcartney 18 beatles first concert 1961 11 jesse owen 22 4 gold medal berlin 1936 12 beethoven piano virtuoso age 2313 issac newton wrote philosophiæ naturalis principia mathematica age 2414 roger bannister 25 broke 4 minute mile record15 albert einstein 26 wrote theory relativity16 lance e armstrong 27 tour de france 17 michelangelo created two greatest sculpture david eand pieta eby age 2818 alexander great age 29 created one largest empire ancient world19 j k rowling 30 year old finished first manuscript harry potter20 amelia earhart 31 year old became first woman fly solo across atlantic ocean21 oprah 32 started talk show become highest-rated program kind22 edmund hillary 33 became first man reach mount everest23 martin luther king jr 34 wrote speech dream 24 marie curie 35 year old got nominated nobel prize physic 25 wright brother orville 32 wilbur 36 invented built world's first successful airplane making first controlled powered sustained heavier-than-air human flight26 vincent van gogh 37 died virtually unknown yet painting today worth million 27 neil armstrong 38 became first man set foot moon 28 mark twain 40 wrote adventure tom sawyer 49 year old wrote adventure huckleberry finn 29 christopher columbus 41 discovered americas30 rosa park 42 refused obey bus driver order give seat make room white passenger31 john f kennedy 43 year old became president united states32 henry ford 45 ford came 33 suzanne collins 46 wrote hunger game 34 charles darwin 50 year old book origin specie came 35 leonardo da vinci 51 year old painted mona lisa 36 abraham lincoln 52 became president 37 ray kroc 53 bought mcdonalds franchise took unprecedented level 38 dr seuss 54 wrote cat hat 40 chesley sully sullenberger iii 57 year old successfully ditched u airway flight 1549 hudson river 2009 155 passenger aboard aircraft survived41 colonel harland sander 61 started kfc franchise42 j r r tolkien 62 lord ring book came out43 ronald reagan 69 became president us44 jack lalane age 70 handcuffed shackled towed 70 rowboats45 nelson mandela 76 became president
inspiration,greatest disease west today tb leprosy unwanted unloved uncared cure physical disease medicine cure loneliness despair hopelessness love many world dying piece bread many dying little love poverty west different kind poverty -- poverty loneliness also spirituality there's hunger love hunger god
kill-me-softly,could love someone keep loving without loved back love real hurt much anything else
love,great tragedy life men perish cease love
adoration,love god love grain sand mine would universe beach
love,real life love possible even returned right away love survive hope exists able win person desire
infatuation,think matter love love memory stronger stranger becomes
idealizations,there's difference really loving someone loving idea
day,beauty inside silver lining world darkness light
love,anyone love expectation loved return wasting time
life,nothing ever happens like imagine
love,love someone say name different like safe inside mouth
love,want lose ' voice almost whisper seeing haggard expression took hand squeezed reluctantly let go could feel tear fought back 'but want keep either ' response
dating-advice,girl start casual guy tell want relationship never become relationship give guy impression casual okay that's he'll ever want straight start get scared run away right
happily-ever-after,think ought live happily ever
love,unless love someone nothing else make sense
longing,want morning noon nightfall want tear smile kiss smell hair taste skin touch breath face want see final hour life lie arm take last breath
love,life routine without life unbearable
fidelity,snape's patronus doe ' said harry 'the mother's loved nearly life child
abandonment,wherever go let lullaby go
compassion,love compassion necessity luxury without humanity cannot survive
love,capture woman's imagination imagination strange creature need time distance function properly
love,dark tired love always time nothing
adoration,every atom flesh dear pain sickness would still dear
honesty,h iding really feel trying make everyone happy make nice make liar
bitterness,part problem word 'disabilities' immediately suggests inability see hear walk thing many u take granted people can't feel talk feeling manage feeling constructive way people able form close strong relationship people cannot find fulfillment life lost hope live disappointment bitterness find life joy love seems real disability
collapse,curious one resist tear 'behave' well hardest hour grief someone make friendly sign behind window one notice flower bud yesterday suddenly blossomed letter slip drawer everything collapse
beautiful,like song heard little kid forgot knew heard
love,find whispered ear promise must endure two hundred year purgatory two hundred year without - punishment earned crime lied killed stolen betrayed broken trust one thing shall lie balance shall stand god shall one thing say weigh rest voice dropped nearly whisper arm tightened around lord ye gave rare woman god loved well
love,live thousand year would belong live thousand life would want make mine one
longing,know called space second ebut think always interval
belonging,owning story hard nearly difficult spending life running embracing vulnerability risky nearly dangerous giving love belonging joy experience make u vulnerable brave enough explore darkness discover infinite power light
love,love suck sometimes feel good sometimes another way bleed
love,love ' buttercup said 'i know must come something surprise since i've ever done scorn degrade taunt loved several hour every second thought hour ago loved woman ever loved man half hour knew felt nothing compared felt ten minute understood previous love puddle compared high sea storm eye like know well many minute ago twenty brought feeling matter ' buttercup still could look sun rising behind could feel heat back gave courage 'i love much twenty minute ago cannot comparison love much opened hovel door cannot comparison room body anything arm love ear adore knee shake blind affection mind begs ask something obey want follow rest day want crawl crawl quiet sing hungry let bring food thirst nothing quench arabian wine go araby even though across world bring bottle back lunch anything anything cannot learn know cannot compete countess skill wisdom appeal saw way looked saw way looked remember please old interest seventeen dearest westley--i've never called --westley westley westley westley westley --darling westley adored westley sweet perfect westley whisper chance win love ' dared bravest thing she'd ever done looked right eye
affection,intended love reader know wrought hard extirpate soul germ love detected first renewed view spontaneously revived great strong made love without looking
beauty,seemed beautiful seductive different ordinary people could understand one disturbed clicking heel paving stone one else's heart wild breeze stirred sigh veil everyone go mad movement braid flight hand gold laughter missed single one gesture one indication character dare approach fear destroying spell
lost,i'm sure world belong anymore i'm sure want wake
heaven,heaven would never heaven without
acceptance,never found anybody could stand accept daily demonstrative love feel give back good give
love,i'm saying i'm love i've love whole bleeding year
breakups,know heart never samebut i'm telling i'll okay
love,love garden blossomingflowers ache perfume spring forgotten face longerremember hand lipsfeel mine love white statuesdrowsing park white statue thathave neither voice sight forgotten voice happy voice forgotten eye like flower perfume bound tomy vague memory live painthat like wound touch willmake irreperable harm caress enfold like climbingvines melancholy wall forgotten love yet seem toglimpse every window heady perfume ofsummer pain againseek sign precipitate desire shooting star falling object
beautiful,would kissed right stared beautiful face beautiful mouth wanted nothing taste would kiss back
love,love recognizes barrier jump hurdle leap fence penetrates wall arrive destination full hope
character,top 15 thing money buytime happiness inner peace integrity love character manner health respect moral trust patience class common sense dignity
love,perhaps romance come one life pomp blare like gay knight riding perhaps crept one side like old friend quiet way perhaps revealed seeming prose sudden shaft illumination flung athwart page betrayed rhythm music perhaps perhaps love unfolded naturally beautiful friendship golden-hearted rose slipping green sheath
love,really love said heart looked sad i'd ever seen what's heart telling know maybe said gently trying hard hear
katniss,remarkable memory remember everything one paying attention
friendship,always see worst self vulnerable self need someone else get close enough tell u wrong someone trust
love,poet often describe love emotion can't control one overwhelms logic common sense that's like plan falling love doubt oyu planned fallin gin love met clear neither u could control happening u fell love despite difference something rare beautiful created love like happened that's every minute spent together seared memory i'll never forget single moment
love,moment stop think whether love someone already stopped loving person forever
love,can't told know agreed mouth mine time knew would turning back wall time body wrapped together tried get coat shirt shirt really lot like we'd fought quad earlier-that passion heat think end day instinct power fighting sex different come animal side u yet clothes came went beyond animal passion sweet wonderful time looked eye could see without doubt loved anyone else world salvation way mine i'd never expected first time cabin wood realized place matter person someone loved could anywhere would incredible luxurious bed world matter someone love
do,love love heart give
inspirational,best thing life make sweaty
grief,true said done grief price pay love
heart,goodbye love eye love heart soul thing separation
boyfriend,relationship real man make woman jealous others make others jealous woman
humanism,day power love overrules love power world know peace
love,anyone love making love whole time even they're two body meet cup overflowing stay together hour even day begin dance one day finish next or--such pleasure experience--they may never finish eleven minute
desire,sweet lip oh could kiss lip night long good thing come wait
love,love ultimate outlaw adhere rule u sign accomplice instead vowing honor obey maybe swear aid abet would mean security question word make stay become inappropriate love string attached love free
daughters,mother beautiful softened edge tempered spine steel want grow old like
love,cannot express surely everybody notion existence beyond use creation entirely contained great misery world heathcliff's misery watched felt beginning great thought living else perished remained still continue else remained annihilated universe would turn mighty stranger seem part love linton like foliage wood time change i'm well aware winter change tree love heathcliff resembles eternal rock beneath source little visible delight necessary nelly heathcliff he's always always mind pleasure always pleasure
faith,believe love stored like inheritance faith love strength blessing large travel far wish without step outside
love,we're little weird life little weird find someone whose weirdness compatible join fall mutually satisfying weirdness eand call love etrue love
life,could know leave district run live wood could make
love,funny forget everything except people loving maybe that's human find hard getting love affair pain they're getting love
death,sister die rest life grief forever go away becomes part step step breath breath never stop grieving bailey never stop loving that's grief love conjoined get one without love love world emulate living daring spirit joy
love,love make want rewrite world make want choose character build scenery guide plot person love sits across want everything power make possible endlessly possible two alone room pretend
agape,parent one obligated love rest world earn
appreciate,even cannot change people around change people choose around life short waste time people respect appreciate value spend life people make smile laugh feel loved
life,fear love fear life fear life already 3-parts dead
leaving,ain't way hold onto something want go understand love got got
brotherly-love,whenever confronted opponent conquer love
lost-love,goodbye darling thank thank coming life giving joy thank loving receiving love return thank memory cherish forever thank showing come time eventually let go love
control,never love something much control need love something much never controlled weakness best strength
love,ever lost kiss mean pure psychedelic inebriation lustful petting transcendental metamorphosis became aware greatness breathing licking side corner mouth like sealing thousand fleshy envelope filled essence passionate opened mouth delivered back - first kiss rest life kiss confirms universe aligned world's greatest resource love maybe even god woman without belief god kiss metaphor decipherable allocation time circumstance understanding
bella,life
aloneness,came wonderful traveling companion end lonely lump metal separate orbit far look like beautiful shooting star reality they're nothing prison u locked alone going nowhere orbit two satellite happened cross path could together maybe even open heart briefest moment next instant we'd absolute solitude burned became nothing
faith,love really flower chocolate poetry something else able finish someone's joke absolute faith someone back knowing someone well instantly understood thing shared belief
love,every true love friendship story unexpected transformation person loved mean loved enough
death,die wait understand matter long watch beyond make sure live every year fullest much talk see bone
gayle-forman,please mia implores make write song
eat,thing unthinkable leaving staying thing impossible stayin thing impossible staying leaving g leaving
clary-fray,piece remember hold hope fear love u long love memory true loss
family,may always we're far apartremember meright inside heart
love,never love wild thing mr bell ' holly advised 'that doc's mistake always lugging home wild thing hawk hurt wing one time full-grown bobcat broken leg can't give heart wild thing stronger get they're strong enough run wood fly tree taller tree sky that's end mr bell let love wild thing end looking sky drunk joe bell informed moderately holly confessed holly lifted martini let's wish doc luck said touching glass mine good luck believe dearest doc -- better look sky live empty place vague country thunder go thing disappear
death,ginny listen can't involved anymore we've got stop seeing can't together stupid noble reason like like something someone else's life last week can't can't i've got thing alone voldemort us people enemy close he's already used bait best friend's sister think much danger keep he'll know he'll find he'll try get care care think i'd feel funeral fault
love,morning without dwindled dawn
enemies,bible tell u love neighbor also love enemy probably generally people
love,shall compare thee summer's day thou art lovely temperate rough wind shake darling bud may summer's lease hath short date sometimes hot eye heaven shine often gold complexion dimm'd every fair fair sometimes decline chance nature changing course untrimm'd thy eternal summer shall fade lose possession fair thou owest shall death brag thou wander'st shade eternal line time thou growest long men breathe eye see long life give life thee
love,one thing know intimacy certain natural law govern sexual experience two people law cannot budged gravity negotiated feel physically comfortable someone else's body decision make little two people think act talk even look mysterious magnet either buried somewhere deep behind sternum learned past heartbreaking clarity force exist surgeon force patient's body accept kidney wrong donor friend annie say come one simple question want belly pressed person's belly forever --or
fight,know whole point point tofind thing matter hold fight refuse tolet go
affairs,reasonable love everything whole life pleasant realize episode
affection,cultivate love allow vulnerable powerful self deeply seen known honor spiritual connection grows offering trust respect kindness affection love something give get something nurture grow connection cultivated two people exists within one ewe love others much love shame blame disrespect betrayal withholding affection damage root love grows love survive injury acknowledged healed rare
four-letter-word,let u begin letter prelude encounter formally declaration old-fashioned way love know although seen smiled know although well would like want eye flutter open morning see smile surely would paradise enough declare pen set paper declare love
awesome,imperfection make thing beautiful
love,remember best relationship one love exceeds need
infatuation,seen much life underestimate power obsessive love
love,love form prejudice love need love make feel good love convenient say love one person ten thousand people world would love ever met never meet right best granted must still realize love result chance encounter people make much ground good fuck entirely scorned that's result chance meeting damned right drink we'll another
advice,care black white straight bisexual gay lesbian short tall fat skinny rich poor nice i'll nice simple
change,one day spent someone love change everything
heart,heart danced upon movement like cork upon tide heard eye said beneath cowl knew dim past whether life revery heard tale
belonging,belong anywhere never really belonged anyone everyone else belonged somewhere someone people thought wonderful wanted belong someone people always thought wonderful belong something wonderful would hurt much lose that's liked him-- thought crazy
food,love sincerer love food
brick,love like brick build house sink dead body
awakening,sleep little baby-ohsleep wakenwhen wake see worldif i'm mistaken kiss loverdance measure find nameand buried treasure face lifeits pain pleasure leave path untaken
fate,accept thing fate bind love people fate brings together heart
love,thing could see except standing leaning balcony railing holding universe together
independence,one stupid person different stupid person wanders stupid life give piece ask something dumb one day like kiss smile life anymore
breakup,try convince love respect commit deserve better better goodbye
dark,envy people know love someone take
life-lessons,care say care share
love,people feel like deserve love walk away quietly empty space trying close gap past
god,great thing remember though feeling come go god's love u
abundance,keep best wish close heart watch happens
love,ye blood blood bone bone give ye body two might one give ye spirit 'til life shall done
betrayal,teach cruel - cruel false despise betray heart cathy one word comfort deserve killed yes may kiss cry wring kiss tear they'll blight - they'll damn loved - right leave right - answer - poor fancy felt linton misery degradation death nothing god satan could inflict would parted u broken heart - broken breaking broken mine much worse strong want live kind living - oh god would like lie soul grave
classics,ever looked know would slave
god-of-the-underworld,care said trembling voice care much know tell without seeming inconsequential compared feel even distant time seem want scare
being-loved,he's prince charming make sure know princess
fame,name one hero happy considered heracles went mad killed family theseus lost bride father jason's child new wife murdered old bellerophon killed chimera crippled fall pegasus' back can't sitting leaning forward can't know never let famous happy lifted eyebrow i'll tell secret tell loved like i'm going first took palm held swear reason swear swear said lost high color cheek flame eye swear echoed sat like moment hand touching grinned feel like could eat world raw
clary-fray,much thought way jace looked blaze faith eye belief always thought strong showed everything every look every touch simon faith yet he'd held something fragile something made delicate glass jace held strength never wondering could take it--he'd known strong
inspirational-life,world common people search someone lose already lost look someone find
buttercup,heart secret garden wall high
humor,want advice i'm sure guy lay magic christian still think moving lissa asked mock astonishment know heart belongs he's still worried despite i've told know bet started making right would make feel better touch said pleasantly i'll provide opportunity see heal we'd see badass really
love,love think
humor,voice love seemed call wrong number
love,write saddest poem tonight write instance night full star star blue shiver distance night wind whirl sky sings write saddest poem tonight loved sometimes loved night like held arm kissed many time infinite sky loved sometimes loved could loved large still eye write saddest poem tonight think feel i've lost hear immense night immense without poem fall soul dew grass matter love keep night full star that's far away someone sings far away soul lost without bring near eye search heart search night whitens tree longer longer love true much loved voice searched wind touch ear someone else's someone else's belonged kiss voice light body infinite eye longer love true perhaps love love short oblivion long night like held arm soul lost without although may last pain cause may last poem write
eternal-questions,met old lady almost hundred year old told 'there two question human being ever fought history much love who's charge
cyberpunk,friend family choose nin ithilnin elven rogue
identity,belong people love belong me--they love loyaty give form identity far word group ever could
behrendt,here's something else think calling say going first brick house building love trust can't lay one stupid brick ain't never gonna house baby cold outside
love,love someone let take care
augustus-waters,love know love shout void oblivion inevitable doomed come day labor returned dust know sun swallow earth ever love
advice,leave piece jewelry house go back get later may real girlfriend
love,love poet said woman's whole existence
love,falling would like cliff diving would either exhilarating thing ever happened stupidest mistake ever make
age,old old grey full sleep nodding fire take book slowly read dream soft look eye shadow deep many loved moment glad grace loved beauty love false true one man loved pilgrim soul loved sorrow changing face bending beside glowing bar murmur little sadly love fled paced upon mountain overhead hid face amid crowd star
anxiety,happiness love tell love bring never brought happiness contrary constant state anxiety battlefield sleepless night asking time we're right thing real love composed ecstasy agony
love,one day braver man tell thing look eye tell love ask mine day we're friend
love,love fly toward secret sky cause hundred veil fall moment first let go life finally take step without foot
love,secret met -in silence grieve thy heart could forget thy spirit deceive meet theeafter long year greet thee -with silence tear
inspirational,dreamed spoke another's language dreamed lived another's skin dreamed beloved dreamed tiger's kin dreamed eden lived inside breathed garden came dreamed knew creation dreamed knew creator's name dreamed--and dream finest--that dreamed real true would live joy forever
fragility,strongest love love demonstrate fragility
crying,eventually something love going taken away fall floor cry however much later finally happening falling floor cry thinking falling floor cry ebut element ridiculous eyou knew would happen even worse floor cry look place wall meet floor realize paint well
love,love reason dislike word mean much far understand - anna karenina anna karenina
life,nothing world difficult love
love,unrequited love die beaten secret place hide curled wounded unfortunate turn bitter mean come pay price hurt done one came
clary-fray,pretending jace said absolute clarity love love die there's life i'll love caught breath said it-the word going back
bravery,fallen love result appear stupid disillusioned poor judgment would damned cared people think would rather thought thing love loving become naked woman horse ride horse head held high spirit unbreakable
love,someday run know maybe older smarter plain better happens deserve moment hook boat mine liable sink u
love,thousand half-loves must forsaken take one whole heart home
goodbye,promise give kiss brow dead --i shall feel dropped head marius' knee eyelid closed thought poor soul departed eponine remained motionless moment marius fancied asleep forever slowly opened eye appeared sombre profundity death said tone whose sweetness seemed already proceed another world -- way monsieur marius believe little bit love
divinity,know tired come way
love,love suffer avoid suffering one must love one suffers loving therefore love suffer love suffer suffer suffer happy love happy suffer suffering make one unhappy therefore happy one must love love suffer suffer much happiness
friendship,friend mind gather man piece gather give back right order
love,heart sir belongs would remain fate exile rest presence forever
business,love business
courage,build wall way sky find way fly try pin hundred thousand arm find way resist many u think people refuse stop believing people refuse come earth people love world without wall people love hate refusal hope without fear love remember cannot take
death,love holding love letting go
love,love heavy light bright dark hot cold sick healthy asleep awake- everything except act 1 scene 1
love,way measure time
angel,could totally boyfriend angel went annoying persistance guy could get married could like junior bridesmaid total could flower dog i'm kid shrieked can't get married could new hampshire
